"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.211633470E-1,1.004985496E-1,3.230310678E-1,9.747162819E0,9.753031941E0
4.235239720E-1,6.699903309E-2,3.182454109E-1,9.735198975E0,9.740629758E0
4.258846490E-1,6.699903309E-2,3.349951804E-1,9.706484795E0,9.712494927E0
4.282452740E-1,4.546362907E-2,3.373879790E-1,9.732806206E0,9.738758351E0
4.306059510E-1,6.460621208E-2,3.038884699E-1,9.742377281E0,9.747329750E0
4.329665760E-1,8.614161611E-2,3.278166950E-1,9.737591743E0,9.743488961E0
4.353272540E-1,5.024927482E-2,3.493520916E-1,9.718449593E0,9.724856521E0
4.376878790E-1,6.699903309E-2,3.589234054E-1,9.725627899E0,9.732479279E0
4.400485560E-1,6.221338734E-2,3.637090325E-1,9.732806206E0,9.739798325E0
4.424092330E-1,5.264209956E-2,3.445664644E-1,9.747162819E0,9.753393269E0
4.447698580E-1,6.699903309E-2,3.517449200E-1,9.751948357E0,9.758519873E0
4.471304830E-1,6.699903309E-2,3.373879790E-1,9.730413437E0,9.736491420E0
4.494911600E-1,9.332008660E-2,3.421736360E-1,9.737591743E0,9.744048666E0
4.518518370E-1,5.503492057E-2,3.373879790E-1,9.742377281E0,9.748372920E0
4.542124620E-1,8.614161611E-2,3.349951804E-1,9.735198975E0,9.741341860E0
4.565731390E-1,7.417750359E-2,3.541377485E-1,9.744770050E0,9.751484973E0
4.589338160E-1,5.024927482E-2,3.349951804E-1,9.747162819E0,9.753047205E0
4.612944410E-1,3.828516230E-2,3.541377485E-1,9.728020668E0,9.734539815E0
4.636551180E-1,5.024927482E-2,3.517449200E-1,9.720842361E0,9.727333946E0
4.660157430E-1,6.939185411E-2,3.708875179E-1,9.749555588E0,9.756854357E0
4.683764200E-1,7.417750359E-2,3.206382394E-1,9.744770050E0,9.750325867E0
4.707370450E-1,6.699903309E-2,3.182454109E-1,9.723235130E0,9.728672592E0
4.730977220E-1,5.982056633E-2,3.445664644E-1,9.749555588E0,9.755825885E0
4.754583470E-1,7.417750359E-2,3.661018610E-1,9.730413437E0,9.737580733E0
4.778190240E-1,5.982056633E-2,3.397808075E-1,9.725627899E0,9.731745349E0
4.801796490E-1,6.939185411E-2,3.517449200E-1,9.747162819E0,9.753754289E0
4.825403260E-1,5.503492057E-2,3.541377485E-1,9.735198975E0,9.741793544E0
4.849010040E-1,5.024927482E-2,3.206382394E-1,9.720842361E0,9.726258792E0
4.872616290E-1,3.589234129E-2,3.278166950E-1,9.732806206E0,9.738391483E0
4.896223060E-1,5.742774159E-2,3.493520916E-1,9.751948357E0,9.758372896E0
4.919829310E-1,6.221338734E-2,3.613162339E-1,9.730413437E0,9.737318192E0
4.943436080E-1,8.374879509E-2,3.373879790E-1,9.735198975E0,9.741403574E0
4.967042330E-1,5.264209956E-2,3.541377485E-1,9.723235130E0,9.729824569E0
4.990649100E-1,5.982056633E-2,3.565305769E-1,9.732806206E0,9.739517914E0
5.014255870E-1,7.178468257E-2,3.397808075E-1,9.739984512E0,9.746173728E0
5.037862120E-1,6.221338734E-2,3.469592929E-1,9.742377281E0,9.748752040E0
5.061468890E-1,5.264209956E-2,3.469592929E-1,9.730413437E0,9.736739577E0
5.085074620E-1,4.785645381E-2,3.421736360E-1,9.725627899E0,9.731762999E0
5.108681910E-1,8.135596663E-2,3.326023519E-1,9.739984512E0,9.746001304E0
5.132288160E-1,5.742774159E-2,3.828516304E-1,9.735198975E0,9.742893430E0
5.155894410E-1,7.178468257E-2,3.517449200E-1,9.732806206E0,9.739424735E0
5.179501700E-1,5.742774159E-2,3.637090325E-1,9.711270332E0,9.718248488E0
5.203107950E-1,4.785645381E-2,3.397808075E-1,9.716055870E0,9.722113089E0
5.226714720E-1,4.546362907E-2,3.302095234E-1,9.730413437E0,9.736120938E0
5.250320970E-1,3.828516230E-2,3.397808075E-1,9.730413437E0,9.736419383E0
5.273927740E-1,7.178468257E-2,3.373879790E-1,9.723235130E0,9.729351730E0
5.297533990E-1,7.657032460E-2,3.445664644E-1,9.730413437E0,9.736813376E0
5.321140760E-1,2.632104978E-2,3.373879790E-1,9.754341125E0,9.760209744E0
5.344747010E-1,6.460621208E-2,3.493520916E-1,9.735198975E0,9.741679523E0
5.368353790E-1,6.460621208E-2,3.397808075E-1,9.749555588E0,9.755688552E0
5.391960560E-1,5.982056633E-2,3.469592929E-1,9.718449593E0,9.724825023E0
