Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),来源批次,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
32.35831098,0.08135596663,0.3397808075,9.74477005,9.751031387,data1,,,,
32.3606716,0.07178468257,0.337387979,9.732806206,9.738916794,data1,,,,
32.36303223,0.0933200866,0.3493520916,9.74477005,9.751476752,data1,,,,
32.36539286,0.09810572863,0.3469592929,9.735198975,9.74187377,data1,,,,
32.36775348,0.08853443712,0.3637090325,9.730413437,9.737611014,data1,,,,
32.3701141,0.07417750359,0.3493520916,9.737591743,9.744138861,data1,,,,
32.37247473,0.04546362907,0.3326023519,9.732806206,9.738593733,data1,,,,
32.37483536,0.07417750359,0.3613162339,9.737591743,9.744575141,data1,,,,
32.37719598,0.09092725813,0.327816695,9.749555588,9.755489004,data1,,,,
32.37955666,0.08614161611,0.3541377485,9.759127617,9.76593087,data1,,,,
32.38191728,0.0933200866,0.3445664644,9.761520386,9.768045604,data1,,,,
32.38427791,0.05742774159,0.3637090325,9.74477005,9.751724234,data1,,,,
32.38663853,0.06699903309,0.3637090325,9.749555588,9.756567393,data1,,,,
32.38899916,0.07896314561,0.3589234054,9.71605587,9.723003798,data1,,,,
32.39135978,0.06460621208,0.35174492,9.728020668,9.734592162,data1,,,,
32.39372041,0.0765703246,0.327816695,9.754341125,9.760148441,data1,,,,
32.39608103,0.06460621208,0.342173636,9.751948357,9.758163429,data1,,,,
32.39844166,0.06699903309,0.3445664644,9.735198975,9.74152524,data1,,,,
32.40080228,0.05982056633,0.3469592929,9.737591743,9.74395465,data1,,,,
32.40316291,0.05264209956,0.3541377485,9.730413437,9.736998017,data1,,,,
32.40552353,0.07896314561,0.366101861,9.735198975,9.742400363,data1,,,,
32.40788416,0.06939185411,0.342173636,9.735198975,9.741457648,data1,,,,
32.41024483,0.06221338734,0.35174492,9.742377281,9.748923535,data1,,,,
32.41260546,0.06221338734,0.3397808075,9.728020668,9.734151613,data1,,,,
32.41496608,0.05742774159,0.3469592929,9.732806206,9.739157835,data1,,,,
32.41732671,0.06699903309,0.3206382394,9.749555588,9.755056735,data1,,,,
32.41968733,0.08135596663,0.3445664644,9.751948357,9.758372897,data1,,,,
32.42204796,0.06460621208,0.3493520916,9.735198975,9.741679523,data1,,,,
32.42440858,0.05264209956,0.35174492,9.739984512,9.746475977,data1,,,,
32.42676921,0.06939185411,0.3302095234,9.732806206,9.738653408,data1,,,,
32.42912983,0.05503492057,0.337387979,9.72323513,9.729242565,data1,,,,
32.43149046,0.08374879509,0.3397808075,9.739984512,9.746269192,data1,,,,
32.43385108,0.09810572863,0.342173636,9.742377281,9.748878019,data1,,,,
