"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.789471940E-1,9.392046370E-3,-2.367100911E-3,-8.552107029E-3,1.292099982E-2
2.813078710E-1,1.244636998E-2,-4.810560029E-3,-7.330377586E-3,1.522458699E-2
2.836684960E-1,1.305723470E-2,-6.643154658E-3,-8.552107029E-3,1.696353195E-2
2.860291730E-1,1.672242396E-2,-8.475748822E-3,-8.552107029E-3,2.060622032E-2
2.883897980E-1,1.855501719E-2,-1.091920771E-2,-7.330377586E-3,2.274317910E-2
2.907504230E-1,2.099847607E-2,-1.153007243E-2,-7.941242307E-3,2.523770784E-2
2.931111010E-1,2.160934173E-2,-1.275180187E-2,-7.941242307E-3,2.631796782E-2
2.954716730E-1,1.977674663E-2,-1.397353224E-2,-7.330377586E-3,2.530046929E-2
2.978324030E-1,2.222020552E-2,-1.336266659E-2,-8.552107029E-3,2.730269082E-2
3.001930280E-1,2.099847607E-2,-1.214093715E-2,-1.038470119E-2,2.638523017E-2
3.025536530E-1,2.283107117E-2,-1.214093715E-2,-9.162971750E-3,2.743392456E-2
3.049143300E-1,2.160934173E-2,-1.030834299E-2,-9.162971750E-3,2.563563216E-2
3.072749550E-1,1.977674663E-2,-7.864884101E-3,-1.160643063E-2,2.424222228E-2
3.096356320E-1,1.916588284E-2,-7.254019380E-3,-9.162971750E-3,2.244798239E-2
3.119962570E-1,1.672242396E-2,-4.199695308E-3,-9.773836471E-3,1.981930329E-2
3.143568820E-1,1.733328775E-2,6.872228696E-4,-1.099556591E-2,2.053819878E-2
3.167175590E-1,1.305723470E-2,5.574141163E-3,-1.160643063E-2,1.833771141E-2
3.190781840E-1,9.392046370E-3,1.107192412E-2,-1.282816008E-2,1.937420269E-2
3.214388610E-1,4.505127668E-3,1.595884189E-2,-1.466075517E-2,2.213410382E-2
3.237994860E-1,3.894262947E-3,1.779143699E-2,-1.588248461E-2,2.416513669E-2
3.261601630E-1,-2.825249685E-3,2.145662531E-2,-1.649334840E-2,2.721028017E-2
3.285207880E-1,-6.490438245E-3,2.390008420E-2,-1.710421406E-2,3.009807223E-2
3.308814130E-1,-8.323032409E-3,2.390008420E-2,-1.771507785E-2,3.089192251E-2
3.332420900E-1,-1.015562657E-2,2.512181364E-2,-1.771507785E-2,3.237385140E-2
3.356027150E-1,-1.320995111E-2,2.634354308E-2,-1.832594350E-2,3.470338997E-2
3.379633920E-1,-1.565340906E-2,2.634354308E-2,-1.649334840E-2,3.480002901E-2
3.403240170E-1,-1.748600416E-2,2.573267929E-2,-1.771507785E-2,3.580160762E-2
3.426846940E-1,-1.992946304E-2,2.573267929E-2,-1.710421406E-2,3.676830727E-2
3.450453190E-1,-1.992946304E-2,2.512181364E-2,-1.710421406E-2,3.634340595E-2
3.474059440E-1,-1.748600416E-2,2.695440874E-2,-1.404988952E-2,3.506707697E-2
3.497666210E-1,-1.748600416E-2,2.695440874E-2,-1.527161989E-2,3.557418820E-2
